prefix,k,support,dH,pred_next
11-11-15,3,354,0.416133,11
1-1-13,3,348,0.548846,1
2-11-2,3,346,0.470344,2
11-0-11,3,331,0.772637,11
6-6-13,3,328,0.438659,6
13-6-13,3,322,0.416034,13
1-13-1,3,312,0.448989,1
11-5-11,3,301,0.624900,11
6-13-6,3,298,0.514439,6
7-11-7,3,295,0.648548,7
9-9-14,3,291,0.437544,9
11-15-11,3,289,0.514012,11
6-11-6,3,277,0.486978,6
9-14-9,3,261,0.554051,9
13-13-12,3,259,0.473427,13
0-0-3,3,258,0.561078,0
0-15-0,3,250,0.429022,0
0-9-0,3,242,0.688899,0
13-12-13,3,240,0.576121,13
10-10-13,3,235,0.687438,10
11-11-14,3,229,0.485145,11
4-4-3,3,225,0.550358,4
10-13-10,3,224,0.629993,10
11-14-11,3,222,0.452499,11
15-11-15,3,219,0.551098,15
4-4-11,3,215,0.627238,4
7-14-7,3,214,0.704889,7
7-7-14,3,214,0.608244,7
11-4-11,3,211,0.530443,11
0-3-0,3,210,0.677934,0
11-11-4,3,203,0.491951,11
4-3-4,3,202,0.786319,4
0-0-7,3,202,0.569684,0
5-11-5,3,200,0.450579,5
5-7-5,3,194,0.780277,5
11-11-3,3,194,0.597229,11
15-14-15,3,190,0.471810,15
4-11-4,3,186,0.788342,4
15-5-15,3,183,0.560822,15
3-13-3,3,177,0.623197,3
9-3-9,3,176,0.558835,9
0-7-0,3,174,0.575412,0
11-11-1,3,173,0.482010,11
1-1-11,3,171,0.579110,1
4-4-0,3,170,0.571002,4
4-0-4,3,164,0.744430,4
15-15-3,3,163,0.638377,15
0-5-0,3,162,0.683355,0
11-3-11,3,161,0.712679,11
12-12-13,3,161,0.430482,12
11-1-11,3,160,0.617733,11
7-0-7,3,160,0.552131,7
15-4-15,3,154,0.421014,15
1-11-1,3,153,0.859346,1
15-15-4,3,152,0.639369,15
0-0-5,3,151,0.561653,0
1-9-1,3,149,0.539270,1
9-10-9,3,148,0.410664,9
15-3-15,3,144,0.609466,15
7-7-3,3,142,0.523486,7
1-1-9,3,141,0.598529,1
9-9-1,3,140,0.453844,9
10-10-9,3,137,0.794519,10
2-5-2,3,137,0.653765,2
4-4-7,3,135,0.691443,4
3-0-3,3,135,0.557691,3
10-10-15,3,134,0.572194,10
7-3-7,3,133,0.979945,7
14-7-14,3,133,0.796292,7
13-5-11,3,131,0.482165,13
9-1-9,3,130,0.661144,9
2-2-14,3,130,0.417724,2
10-9-10,3,129,0.799398,10
9-4-9,3,129,0.671308,9
12-13-12,3,128,0.729835,12
3-3-4,3,128,0.438519,4
4-4-15,3,127,0.689408,4
13-8-13,3,124,0.727932,13
5-5-0,3,124,0.409488,5
13-13-8,3,123,0.552303,13
4-15-4,3,122,0.799242,4
2-14-2,3,121,0.601299,2
5-2-5,3,120,0.591393,5
5-5-14,3,120,0.496904,5
1-7-1,3,116,0.640118,1
11-10-11,3,116,0.533588,11
3-4-3,3,113,0.683470,3
3-11-3,3,112,0.498606,3
12-12-3,3,112,0.442007,3
1-1-15,3,111,0.772994,1
6-6-3,3,110,0.675216,6
1-1-7,3,109,0.693695,1
4-9-4,3,109,0.535283,4
6-9-6,3,108,0.811257,6
6-6-9,3,108,0.793717,6
5-0-5,3,107,0.527991,5
14-15-14,3,107,0.434277,14
10-15-10,3,105,0.698411,10
6-6-1,3,105,0.674492,6
6-6-7,3,105,0.486819,6
7-7-10,3,105,0.415636,7
4-7-4,3,104,0.744163,4
6-1-6,3,103,0.867757,6
6-6-5,3,103,0.579889,6
0-0-10,3,103,0.529669,0
6-3-6,3,102,0.670955,6
15-2-15,3,102,0.415152,15
7-7-1,3,101,0.499716,7
3-7-3,3,98,0.520134,3
12-12-0,3,97,0.756549,12
1-15-1,3,96,0.665463,1
6-6-0,3,95,0.467448,6
5-14-5,3,95,0.411455,5
10-10-7,3,92,0.709391,10
7-2-7,3,92,0.547660,7
2-9-2,3,92,0.417245,2
12-0-12,3,91,1.146482,12
6-7-6,3,91,0.855516,6
7-7-2,3,91,0.705049,7
6-5-6,3,90,0.883527,6
14-14-5,3,89,0.485881,5
4-4-5,3,85,0.613607,4
5-5-4,3,85,0.601055,5
2-15-2,3,84,0.580437,2
2-2-7,3,84,0.444205,2
9-9-12,3,83,0.467979,9
6-0-6,3,82,1.263771,6
1-1-5,3,82,0.907906,1
12-12-15,3,81,0.905333,12
3-15-3,3,81,0.718672,3
0-10-0,3,81,0.605810,0
13-15-5,3,81,0.516857,5
12-3-12,3,81,0.474032,12
10-10-2,3,80,0.745133,10
2-7-2,3,79,0.850305,2
4-5-4,3,79,0.740293,4
5-5-1,3,78,0.575611,5
12-15-12,3,77,0.772055,12
1-1-14,3,76,0.623564,1
15-15-8,3,74,0.436778,15
10-10-0,3,73,0.802169,10
0-14-0,3,73,0.630471,0
3-12-3,3,73,0.622002,3
0-0-8,3,73,0.459790,0
9-12-9,3,72,0.790509,9
10-7-10,3,72,0.757145,10
15-8-15,3,72,0.629895,15
1-5-1,3,71,1.019593,1
12-12-4,3,71,0.606881,12
12-12-9,3,71,0.574256,12
10-11-10,3,70,0.772554,10
10-2-10,3,69,1.000873,10
5-4-5,3,69,0.979916,5
6-6-15,3,69,0.798302,6
0-12-0,3,69,0.527788,0
13-14-11,3,68,0.579232,13
1-14-1,3,67,0.972449,1
6-10-6,3,67,0.935080,6
14-2-14,3,66,0.727168,14
8-13-8,3,66,0.685183,8
13-2-11,3,66,0.535237,2
1-1-4,3,65,0.529363,1
9-10-15,3,65,0.415861,15
5-5-3,3,64,0.886120,5
0-0-1,3,64,0.666383,0
3-3-5,3,64,0.479408,3
11-11-12,3,63,0.453858,11
8-8-13,3,62,0.757186,8
12-9-12,3,62,0.752375,12
11-8-11,3,62,0.600285,11
15-3-9,3,62,0.463558,9
13-5-0,3,62,0.433716,13
12-12-7,3,61,1.015316,12
